,rank,Company,Symbol,Weight,Price,Chg,% Chg
397,398,Hormel Foods Corporation,HRL,0.043865,40.87,-0.03,(-0.06%)
398,399,Norwegian Cruise Line Holdings Ltd.,NCLH,0.043718,50.17,-1.02,(-1.99%)
399,400,Allegion PLC,ALLE,0.043055,115.59,-0.93,(-0.79%)
400,401,Avery Dennison Corporation,AVY,0.042948,127.92,-1.09,(-0.84%)
401,402,Jack Henry & Associates Inc.,JKHY,0.042632,141.49,0.01,(0.01%)
402,403,Textron Inc.,TXT,0.042482,46.1,-0.58,(-1.24%)
403,404,Eastman Chemical Company,EMN,0.042303,75.43,-1.77,(-2.29%)
404,405,Western Union Company,WU,0.042242,24.98,-0.22,(-0.87%)
405,406,Arconic Inc.,ARNC,0.042172,27.29,-0.24,(-0.87%)
406,407,Vornado Realty Trust,VNO,0.041791,65.78,-0.93,(-1.39%)
407,408,Raymond James Financial Inc.,RJF,0.041652,83.59,-1.64,(-1.92%)
408,409,Pinnacle West Capital Corporation,PNW,0.04164,93.65,-0.19,(-0.20%)
409,410,C.H. Robinson Worldwide Inc.,CHRW,0.041596,76.53,-0.55,(-0.71%)
410,411,United Rentals Inc.,URI,0.041487,133.22,-2.72,(-2.00%)
411,412,Packaging Corporation of America,PKG,0.041122,109.26,-1.17,(-1.06%)
412,413,NRG Energy Inc.,NRG,0.040778,40.29,-0.43,(-1.06%)
413,414,CF Industries Holdings Inc.,CF,0.040614,44.45,-2.59,(-5.51%)
414,415,Everest Re Group Ltd.,RE,0.040446,253.89,-0.66,(-0.26%)
415,416,NiSource Inc,NI,0.040294,27.97,0.46,(1.65%)
416,417,PulteGroup Inc.,PHM,0.040185,39.14,-0.43,(-1.09%)
417,418,E*TRADE Financial Corporation,ETFC,0.040178,41.59,-0.76,(-1.79%)
418,419,J.B. Hunt Transport Services Inc.,JBHT,0.039762,117.52,-0.19,(-0.16%)
419,420,Mylan N.V.,MYL,0.039422,19.34,-0.08,(-0.39%)
420,421,Comerica Incorporated,CMA,0.039288,65.19,-1.33,(-2.00%)
421,422,Molson Coors Brewing Company Class B,TAP,0.039212,52.64,-0.37,(-0.69%)
422,423,Federal Realty Investment Trust,FRT,0.038919,136.06,-5.1,(-3.61%)
423,424,Globe Life Inc.,GL,0.038607,96.68,-0.57,(-0.59%)
424,425,LKQ Corporation,LKQ,0.038369,34.0,2.52,(8.01%)
425,426,Whirlpool Corporation,WHR,0.038344,151.81,-2.95,(-1.90%)
426,427,PerkinElmer Inc.,PKI,0.0383,84.84,-2.92,(-3.33%)
427,428,WestRock Company,WRK,0.038143,37.3,-0.37,(-0.97%)
428,429,Iron Mountain Inc.,IRM,0.037844,32.85,-0.63,(-1.88%)
429,430,Qorvo Inc.,QRVO,0.037605,79.55,-0.31,(-0.38%)
430,431,Henry Schein Inc.,HSIC,0.037273,62.26,-0.54,(-0.86%)
431,432,Noble Energy Inc.,NBL,0.036954,19.45,0.04,(0.21%)
432,433,Huntington Ingalls Industries Inc.,HII,0.036877,223.81,-1.28,(-0.57%)
433,434,Marathon Oil Corporation,MRO,0.036757,11.44,-0.12,(-1.04%)
434,435,Snap-on Incorporated,SNA,0.036213,163.46,-1.41,(-0.86%)
435,436,Kimco Realty Corporation,KIM,0.035724,21.52,-0.22,(-1.01%)
436,437,Zions Bancorporation N.A.,ZION,0.034446,48.59,-0.63,(-1.28%)
437,438,Discovery Inc. Class C,DISCK,0.034337,24.99,-0.04,(-0.14%)
438,439,Alaska Air Group Inc.,ALK,0.034247,69.48,-0.9,(-1.28%)
439,440,National Oilwell Varco Inc.,NOV,0.034211,22.73,0.07,(0.29%)
440,441,Mohawk Industries Inc.,MHK,0.034181,141.43,-2.9,(-2.01%)
441,442,HollyFrontier Corporation,HFC,0.034051,54.63,-2.25,(-3.95%)
