symbol,symbol,name,lastsale,marketcap,ipoyear,sector,industry
AKRX,AKRX,"Akorn, Inc.",3.175,400500000.0,,Health Care,Major Pharmaceuticals
AKS,AKS,AK Steel Holding Corporation,2.59,819440000.0,,Basic Industries,Steel/Iron Ore
AKTS,AKTS,"Akoustis Technologies, Inc.",5.6,168320000.0,,Public Utilities,Telecommunications Equipment
AKTX,AKTX,Akari Therapeutics Plc,1.85,30540000.0,,Health Care,Major Pharmaceuticals
AL,AL,Air Lease Corporation,40.17,4460000000.0,2011.0,Technology,Diversified Commercial Services
ALAC,ALAC,Alberton Acquisition Corporation,10.141,148970000.0,2018.0,Finance,Business Services
ALB,ALB,Albemarle Corporation,73.49,7790000000.0,,Basic Industries,Major Chemicals
ALBO,ALBO,"Albireo Pharma, Inc.",24.95,300380000.0,,Health Care,Major Pharmaceuticals
ALC,ALC,Alcon Inc.,59.64,29150000000.0,2019.0,Health Care,Ophthalmic Goods
ALCO,ALCO,"Alico, Inc.",30.8,230080000.0,,Consumer Non-Durables,Farming/Seeds/Milling
ALDR,ALDR,"Alder BioPharmaceuticals, Inc.",9.99,834200000.0,2014.0,Health Care,Major Pharmaceuticals
ALDX,ALDX,"Aldeyra Therapeutics, Inc.",5.41,148720000.0,2014.0,Health Care,Major Pharmaceuticals
ALE,ALE,"Allete, Inc.",86.51,4470000000.0,,Public Utilities,Power Generation
ALEC,ALEC,"Alector, Inc.",17.78,1220000000.0,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,ALEX,"Alexander & Baldwin, Inc.",23.41,1690000000.0,,Consumer Services,Real Estate Investment Trusts
ALG,ALG,"Alamo Group, Inc.",108.74,1290000000.0,,Capital Goods,Industrial Machinery/Components
ALGN,ALGN,"Align Technology, Inc.",188.29,15040000000.0,2001.0,Health Care,Industrial Specialties
ALGR,ALGR,Allegro Merger Corp.,10.1,192510000.0,2018.0,Finance,Business Services
ALGT,ALGT,Allegiant Travel Company,148.74,2430000000.0,2006.0,Transportation,Air Freight/Delivery Services
ALIM,ALIM,"Alimera Sciences, Inc.",0.56,39760000.0,2010.0,Health Care,Major Pharmaceuticals
ALJJ,ALJJ,"ALJ Regional Holdings, Inc.",1.515,63520000.0,,Miscellaneous,Business Services
ALK,ALK,"Alaska Air Group, Inc.",64.53,7960000000.0,,Transportation,Air Freight/Delivery Services
ALKS,ALKS,Alkermes plc,22.885,3600000000.0,1991.0,Health Care,Major Pharmaceuticals
ALL,ALL,Allstate Corporation (The),105.3,34660000000.0,,Finance,Property-Casualty Insurers
ALLE,ALLE,Allegion plc,99.15,9260000000.0,2013.0,Consumer Services,Diversified Commercial Services
ALLK,ALLK,Allakos Inc.,83.8,3620000000.0,2018.0,Health Care,Major Pharmaceuticals
ALLO,ALLO,"Allogene Therapeutics, Inc.",31.07,3780000000.0,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,ALLT,Allot Ltd.,7.5,255280000.0,2006.0,Technology,Computer Communications Equipment
ALLY,ALLY,Ally Financial Inc.,32.05,12510000000.0,2014.0,Finance,Major Banks
